# sfr_address
80 port_0
81 stack_pointer
82 data_pointer_high_bits
83 data_pointer_low_bits
87 power_control
88 timer/counter_control
89 timer/counter_mode
8a timer/counter_0_low_bits
8b timer/counter_1_low_bits
8c timer/counter_0_high_bits
8d timer/counter_1_high_bits
90 port_1
98 serial_control_0
99 serial_data_buffer_0
a0 port_2
a8 interrupt_enable
a8 interrupt_enable_0
a9 serila_address_register_0
b0 port_3
b7 interrupt_priority
b8 interrupt_priority
b9 serila_address_enable_0
c8 timer_2_control_register
ca timer_2_capture_low
cb timer_2_capture_high
cc timer_2_low
cd timer_2_high
d0 program_status_word
e0 accumulator
f0 b_register
