# op_code
00 no_operation
01 absolute_jump
02 long_jump
03 rotate_right
04 increment_accumulator
05 increment_(direct)
06 increment_@Ri
07 increment_@Ri
08 increment_Rn
09 increment_Rn
0a increment_Rn
0b increment_Rn
0c increment_Rn
0d increment_Rn
0e increment_Rn
0f increment_Rn
10 jump_if_bit_set_and_clear_bit
11 absolute_call
12 long_call
13 rotate_right_thrugh_carry
14 decrement_accumulator_a=a-1
15 decrement_direct_(direct)=(direct)-1
16 decrement_indirect_@Ri=@Ri-1
17 decrement_indirect_@Ri=@Ri-1
18 decrement_reg_Rn=Rn-1
19 decrement_reg_Rn=Rn-1
1a decrement_reg_Rn=Rn-1
1b decrement_reg_Rn=Rn-1
1c decrement_reg_Rn=Rn-1
1d decrement_reg_Rn=Rn-1
1e decrement_reg_Rn=Rn-1
1f decrement_reg_Rn=Rn-1
20 jump_if_bit_set
21 absolute_jump
22 return_from_subrutine
23 rotate_left
24 add_A=A+constant
25 add_A=A+(direct)
26 add_A=A+@Ri
27 add_A=A+@Ri
28 add_A=A+Rx
29 add_A=A+Rx
2a add_A=A+Rx
2b add_A=A+Rx
2c add_A=A+Rx
2d add_A=A+Rx
2e add_A=A+Rx
2f add_A=A+Rx
30 jump_if_bit_not_set
31 absolute_call
32 return_from_interrupt
33 rotate_left_thrugh_carry
34 add_A=A+constant+c
35 add_A=A+(direct)+c
36 add_A=A+@Ri+c
37 add_A=A+@Ri+c
38 add_A=A+Rx+c
39 add_A=A+Rx+c
3a add_A=A+Rx+c
3b add_A=A+Rx+c
3c add_A=A+Rx+c
3d add_A=A+Rx+c
3e add_A=A+Rx+c
3f add_A=A+Rx+c
40 jump_if_carry_is_set
41 absolute_jump
42 or_(direct)=(direct)_or_A
43 or_(direct)=(direct)_or_constant
44 or_A=A_or_constant
45 or_A=A_or_(direct)
46 or_A=A_or_@Ri
47 or_A=A_or_@Ri
48 or_A=A_or_Rn
49 or_A=A_or_Rn
4a or_A=A_or_Rn
4b or_A=A_or_Rn
4c or_A=A_or_Rn
4d or_A=A_or_Rn
4e or_A=A_or_Rn
4f or_A=A_or_Rn
50 jump_if_carry_not_set
51 absolute_call
52 and_(direct)=(direct)^A
53 and_(direct)=(direct)^constant
54 and_A=A^constant
55 and_A=A^(direct)
56 and_A=A^@Ri
57 and_A=A^@Ri
58 and_A=A^Rx
59 and_A=A^Rx
5a and_A=A^Rx
5b and_A=A^Rx
5c and_A=A^Rx
5d and_A=A^Rx
5e and_A=A^Rx
5f and_A=A^Rx
60 jump_if_accumulator_zero
61 absolute_jump
62 XOR_(direct)=(direct)_XOR_A
63 XOR_(direct)=(direct)_XOR_constant
64 XOR_A=A_XOR_constant
65 XOR_A=A_XOR_(direct)
66 XOR_A=A_XOR_@Ri
67 XOR_A=A_XOR_@Ri
68 XOR_A=A_XOR_Rn
69 XOR_A=A_XOR_Rn
6a XOR_A=A_XOR_Rn
6b XOR_A=A_XOR_Rn
6c XOR_A=A_XOR_Rn
6d XOR_A=A_XOR_Rn
6e XOR_A=A_XOR_Rn
6f XOR_A=A_XOR_Rn
70 jump_if_accumulator_not_zero
71 absolute_call
72 or_c_=_c_or_bit
73 jump_indirect
74 move_A=constant
75 move_(direct)=constant
76 move_@Ri=constant
77 move_@Ri=constant
78 move_Rn=constant
79 move_Rn=constant
7a move_Rn=constant
7b move_Rn=constant
7c move_Rn=constant
7d move_Rn=constant
7e move_Rn=constant
7f move_Rn=constant
80 short_jump
81 absolute_jump
82 and_c=c^bit
83 move_A=pc+A
84 divide
85 move_(direct)=(direct)
86 move_(direct)=@Ri
87 move_(direct)=@Ri
88 move_(direct)=Rn
89 move_(direct)=Rn
8a move_(direct)=Rn
8b move_(direct)=Rn
8c move_(direct)=Rn
8d move_(direct)=Rn
8e move_(direct)=Rn
8f move_(direct)=Rn
90 move_dptr=constant(16_bit)
91 absolute_call
92 move_bit=c
93 move_A=dptr+A
94 substract_with_borrow_A=A-c-constant
95 substract_with_borrow_A=A-c-(direct)
96 substract_with_borrow_A=A-c-@Ri
97 substract_with_borrow_A=A-c-@Ri
98 substract_with_borrow_A=A-c-Rn
99 substract_with_borrow_A=A-c-Rn
9a substract_with_borrow_A=A-c-Rn
9b substract_with_borrow_A=A-c-Rn
9c substract_with_borrow_A=A-c-Rn
9d substract_with_borrow_A=A-c-Rn
9e substract_with_borrow_A=A-c-Rn
9f substract_with_borrow_A=A-c-Rn
