80 IOA
81 SP
82 DPL0
83 DPH0
84 DPL1
85 DPH1
86 DPS
87 PCON
88 TCON
89 TMOD
8a TL0
8b TL1
8c TH0
8d TH1
8e CKCON
90 IOB
91 EXIF
92 MPAGE
98 SCON0
99 SBUF0
9a AUTOPTRH1
9b AUTOPTRL1
9d AUTOPTRH2
9e AUTOPTRL2
a0 IOC
a1 INT2CLR
a2 INT4CLR
a8 IE
aa EP2468STAT
ab EP24FIFOFLGS
ac EP68FIFOFLGS
af AUTOPTRSETUP
b0 IOD
b1 IOE
b2 OEA
b3 OEB
b4 OEC
b5 OED
b6 OEE
b8 IP
ba EP01STAT
bb GPIFTRIG
bd GPIFSGLDATH
be GPIFSGLDATLX
bf GPIFSGLDATL
c0 SCON1
c1 SBUF1
c8 T2CON
ca RCAP2L
cb RCAP2H
cc TL2
cd TH2
d0 PSW
d8 EICON
e0 ACC
e8 EIE
f0 B
f8 EIP
